model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,18,64,6.7432748695968782e-08,8.5388784819191989e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,65,5.3937048029452173e-08,6.8299440213159292e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,66,4.4324324058254675e-08,5.6127033859035082e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,67,3.0931513466411501e-08,3.9167976963591369e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,68,2.8939848439071404e-08,3.6645970079099347e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,69,1.5926931968958789e-08,2.0167965758878126e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,70,1.4233542949033025e-08,1.8023660010797776e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,71,9.7405032430009426e-09,1.2334210773421596e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,72,7.9638782518449563e-09,1.0084504925626511e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,73,6.9356343171945737e-09,8.7824595281689160e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,74,5.3992577834566677e-09,6.8369756530848681e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,75,4.2138683062573475e-09,5.3359398959356378e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,76,4.1883672659188779e-09,5.3036484220118217e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,77,3.2830320224776618e-09,4.1572399218930330e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,78,2.9497456622653662e-09,3.7352058531996307e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,79,2.7268870184689683e-09,3.4530042649768863e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,80,2.5115823710978570e-09,3.1803681562541983e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,81,2.3586604170515863e-09,2.9867260449551225e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,82,1.8192015993898217e-09,2.3036197829247588e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,83,1.0740174741880761e-09,1.3600075448352621e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,84,8.4719563709656063e-10,1.0727874416325124e-10,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,85,6.0402345956995123e-10,7.6486321872336507e-11,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,86,4.6396139666015731e-10,5.8750533872563794e-11,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,87,3.9205903346385171e-10,4.9645676755375322e-11,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,88,2.4567704360149142e-10,3.1109608634946684e-11,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,89,1.6012668452717321e-10,2.0276532209221401e-11,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,90,1.3436061149985585e-10,1.7013824240301372e-11,parity-PRG-sector-hybrid,0.737543870639
