model,J2,L,rank,x,pi,n_low_energy_eigenpairs,P2,KF,retained_mass,unresolved_mass,D_TV_ranked,source_checkpoint,source_sha256
NNN-TFIM,0.050000000000000003,8,17,1.0337592860179431e-34,7.1214164534548181e-35,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,10,1,2.069947511995252,0.88764176167980258,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,2,0.20301051767511014,0.087055643925466261,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,3,0.047708702730482326,0.020458604236937038,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,4,0.01031422336960299,0.004422979495421326,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,5,0.00084212151186403123,0.00036112134148702128,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,6,6.5787223813136859e-05,2.8211095645235962e-05,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,7,3.1463185888746209e-05,1.3492147790465256e-05,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,8,1.0903027308774686e-05,4.6754723546951267e-06,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,9,1.0896420034393616e-05,4.672639001367311e-06,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,10,9.9949210592394859e-06,4.2860552190147737e-06,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,11,5.5861214692069255e-06,2.3954591472247809e-06,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
