model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,20,38,4.7389339903385196e-06,7.6992403069093850e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,39,3.7048277545918928e-06,6.0191509813102269e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,40,3.2116988475727813e-06,5.2179754500273996e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,41,2.6175756711322241e-06,4.2527167828575249e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,42,2.6151739744865885e-06,4.2488147999101478e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,43,2.4250852955037424e-06,3.9399819649106166e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,44,2.3130541936761043e-06,3.7579675336952103e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,45,1.8429567743398636e-06,2.9942107465133911e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,46,1.7747100004586582e-06,2.8833317358848478e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,47,1.7586062292673664e-06,2.8571682981788118e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,48,1.0751147738777301e-06,1.7467149824135640e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,49,6.8484185471965008e-07,1.1126472794231637e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,50,6.3459456745988290e-07,1.0310116330579737e-07,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,51,5.5005686512345881e-07,8.9366511449302335e-08,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,52,4.4920394917005516e-07,7.2981163243126493e-08,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,53,2.4497804838813535e-07,3.9801036864056316e-08,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,54,1.8323621523905483e-07,2.9769979006465910e-08,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,55,6.6040504584030517e-08,1.0729453413333584e-08,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,56,5.5881101543659473e-08,9.0788778716182426e-09,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,57,4.1645770035339195e-08,6.7660953269673641e-09,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,58,3.2270397109732266e-08,5.2428994084695937e-09,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,59,2.2984520965203519e-08,3.7342438322855298e-09,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,60,1.9264688213605080e-08,3.1298909057738341e-09,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,61,6.6481209221683063e-09,1.0801053712400295e-09,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,62,3.3276307880305947e-09,5.4063274867197814e-10,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,63,1.4408598345163895e-11,2.3409328209956605e-12,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,64,1.2214728774946979e-11,1.9844997274443940e-12,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,65,1.7360608404657029e-24,2.8205393080830218e-25,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,66,1.8496242228646935e-25,3.0050432013505484e-26,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,67,5.4707541300998554e-26,8.8882121577403448e-27,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,68,3.7125581357767101e-26,6.0317103591211992e-27,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,69,1.7029804382495325e-26,2.7667943167767979e-27,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,70,1.9074182907046355e-27,3.0989399337213135e-28,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,71,1.3378740459531093e-27,2.1736141083987341e-28,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,72,5.5129763149156038e-28,8.9568095992413105e-29,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,73,2.7833099617495536e-28,4.5219815865368916e-29,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,74,1.9584301064987361e-28,3.1818176925361221e-29,parity-PRG-sector-hybrid,0.730308153046
