model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,12,72,4.6012810696469212e-13,1.5920679960044138e-13,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,73,4.5766347912888483e-13,1.5835402511436732e-13,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,74,4.2533131675846026e-13,1.4716692305030648e-13,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,75,3.7692395409279570e-13,1.3041771523090734e-13,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,76,3.6206098391768967e-13,1.2527504761656615e-13,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,77,2.7273521277604716e-13,9.4367850403348230e-14,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,78,2.7245475034966282e-13,9.4270808895479084e-14,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,79,1.6785546435265030e-13,5.8078893400619989e-14,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,80,1.3188840409693964e-13,4.5634097119597919e-14,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,1,1.9054379064802573e+00,8.7994719819929590e-01,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,2,2.0367139202802351e-01,9.4057156183833188e-02,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,3,4.5907150935323889e-02,2.1200307134368955e-02,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,4,8.6368140600081317e-03,3.9885531339675729e-03,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,5,8.2125526776001350e-04,3.7926256710550232e-04,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,6,4.2706803770308166e-04,1.9722359985557036e-04,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,7,1.2575103013736297e-04,5.8072879868570136e-05,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,8,1.0628352532820484e-04,4.9082622954665556e-05,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,9,8.2011601951491919e-05,3.7873645271577864e-05,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,10,4.3280094554385554e-05,1.9987110475450579e-05,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,11,3.8356165621826397e-05,1.7713198817871842e-05,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,12,3.3174442840851999e-05,1.5320235800049604e-05,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,13,2.3329871774779074e-05,1.0773930356244011e-05,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,14,1.1301592619944205e-05,5.2191702113662049e-06,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,15,1.0520086144531608e-05,4.8582639697746233e-06,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,16,6.4071142858040207e-06,2.9588590870170907e-06,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,17,4.7431782877987481e-06,2.1904394946241127e-06,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,18,4.7207819885648423e-06,2.1800966958932357e-06,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,19,2.2060385988717563e-06,1.0187671178340839e-06,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,20,1.4922206308686780e-06,6.8911999638634465e-07,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,21,1.0903182342661441e-06,5.0351810055062418e-07,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,22,1.0656326127370954e-06,4.9211807359282125e-07,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,23,9.4330287579078073e-07,4.3562517560004064e-07,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,24,6.6471776368555101e-07,3.0697223549460372e-07,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,25,3.9923382073393626e-07,1.8436952512934963e-07,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,26,3.0534562959664899e-07,1.4101117141218961e-07,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,27,1.5984544610162616e-07,7.3817966969001234e-08,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,28,1.2821871869444467e-07,5.9212479130476080e-08,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,29,9.1382782223054819e-08,4.2201334878118046e-08,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,30,5.4019012137925987e-08,2.4946432638189062e-08,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,31,4.6668046402431924e-08,2.1551695039546644e-08,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,32,4.1467502941806489e-08,1.9150040474090755e-08,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,33,2.8797593398570960e-08,1.3298970037162748e-08,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,34,2.5306468195836772e-08,1.1686739152985820e-08,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,35,1.6088940115730476e-08,7.4300074165024890e-09,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,36,1.2501121797793643e-08,5.7731228411617820e-09,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,37,8.9633873275084256e-09,4.1393674065116199e-09,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,38,7.3874713241608099e-09,3.4115961855093393e-09,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,39,5.3647064458660213e-09,2.4774664081925149e-09,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,40,3.8396823600957448e-09,1.7731975013464015e-09,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,41,2.7118829131499483e-09,1.2523702625811946e-09,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,42,1.6352331817166008e-09,7.5516439121966842e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,43,1.3481119702882850e-09,6.2256940889005029e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,44,1.1123985301868023e-09,5.1371496630243699e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,45,8.4710539973969915e-10,3.9120037475131768e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,46,7.5476485173839407e-10,3.4855673560800357e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,47,5.5392461532135509e-10,2.5580703081845585e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,48,5.3669155147304232e-10,2.4784865747123732e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,49,4.3218439429693519e-10,1.9958637622022570e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,50,4.0574739081998593e-10,1.8737754639732242e-10,parity-PRG-sector-hybrid,0.783619372916
